URL,Name,Quality,channel_id
https://www.youtube.com/playlist?list=PLO673u2zYHhk_EBaiqv-CxcUBH7O3h1vb,Illustra Media,10,PLO673u2zYHhk_EBaiqv-CxcUBH7O3h1vb
https://www.youtube.com/channel/UC__kT4NBC-jqJF-RphguAvQ/videos,Siham's Beauty World,10,UC__kT4NBC-jqJF-RphguAvQ
https://www.youtube.com/channel/UC_-xAysVOzD1BgkZQByH4mg,Eqtsad Stan - اقتصاد ستان,2,UC_-xAysVOzD1BgkZQByH4mg
https://www.youtube.com/channel/UC_adLwpeZ2FqlOPXraPRfEw/videos,اسألني Ask Me,9,UC_adLwpeZ2FqlOPXraPRfEw
https://www.youtube.com/c/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%88%D9%87%D8%A7%D8%A8%D8%A7%D9%84%D9%81%D8%AA%D9%84%D8%A7%D9%88%D9%8A/videos,Abdulwahhab Al-Fatlawi,8,UC_C_3CYMkiU2Q4F4ES0cZJw
https://www.youtube.com/c/FatimaZahran/videos,Fatima Zahran,10,UC_C-V8mVt-QBO8WHEIEYjBQ
https://www.youtube.com/c/SherifGaber/videos,Sherif Gaber,10,UC_CKL5F9i7e9sPnZcxXP3HQ
https://www.youtube.com/c/aramtv/videos,ARAM TV - آرام تي في ,3,UC_Ds7nedV3NqYf0zhpYti4A
https://www.youtube.com/c/ANIMALLIFEAR/videos,ANIMAL LIFE AR,10,UC_LE5ph2t1BdvcoXjipro0g
https://www.youtube.com/channel/UC_m_MfL2eYsvjQIsKvhNTGg/videos,قصص وحكايات بسبوسة,7,UC_m_MfL2eYsvjQIsKvhNTGg
https://www.youtube.com/c/SalatAlaNabi/videos,Salat Ala Nabi قناة الصلاة على النبي,10,UC_qz19XMZs0nRJGTaVGqUpQ
https://www.youtube.com/c/JenJoon/videos,JenJoon,10,UC_SEdVk8EOw7COe9lfWThyg
https://www.youtube.com/channel/UC_wWxdluwK0qNKsTYzCzOzA/videos,Basel Najem - باسل نجم,9,UC_wWxdluwK0qNKsTYzCzOzA
https://www.youtube.com/c/AdnanQuran/videos,Adnan Quran,10,UC_x9Ji3SYOGGcx9Ezky002A
https://www.youtube.com/c/apartmentbarcelona/videos,AB Apartment Barcelona,10,UC_zzLUGXzieskcaohpVE1QA
https://www.youtube.com/channel/UC--PzG8GaRi0E3o_XSGFjFg/videos,Samba Bank - بنك سامبا,10,UC--PzG8GaRi0E3o_XSGFjFg
https://www.youtube.com/channel/UC-4KnPMmZzwAzW7SbVATUZQ/videos, AJ+ كبريت ,8,UC-4KnPMmZzwAzW7SbVATUZQ
https://www.youtube.com/c/%D8%B9%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%81%D9%84%D8%B3%D9%81%D8%A9/videos,عالم الفلسفة,9,UC-7d6GoWxXsQMyKj9j0rhwA
https://www.youtube.com/c/TheSynaptik/videos,The Synaptik,10,UC-a0VWdARiAH-7o6o1I4ypw
https://www.youtube.com/channel/UC-afn-MWUkn2hAItCyxVjwA/videos,منعطف Mun3ataf,10,UC-afn-MWUkn2hAItCyxVjwA
https://www.youtube.com/c/WOJOODNET/videos,وجود / WOJOOD_NET,10,UC-F5BiCWh9X5Aj2TQf7hcRQ
https://www.youtube.com/c/Osloop/videos,Osloop أسلوب,8,UC-fT6wIb2N5-fZexR_eBRyA
https://www.youtube.com/channel/UC-ITr5yj8cafNDcZ06vAqLg/videos,خربوشة kharboucha,10,UC-ITr5yj8cafNDcZ06vAqLg
https://www.youtube.com/c/%D8%A7%D9%84%D8%B3%D9%87%D9%85%D8%A7%D9%84%D9%86%D8%A7%D8%B1%D9%8A/videos,السهم الناري,10,UC-kaQcZtm813sxHcAFP1duA
https://www.youtube.com/c/Baytcom/videos,Bayt.com,10,UC-o3Tuyl6StQMmn19s2iZPA
https://www.youtube.com/c/Salman97Q8KuwaitiVlogger/videos,KuwaitiVlogger كويتي فلوقر,10,UC-pMCvSsH_ZfbPrIt4lDzuw
https://www.youtube.com/user/kadoodi/videos,قناة التوحيد للقران الكريم,10,UC-Pp-459wVu80YbOiYKXPUg
https://www.youtube.com/channel/UC-THfFuy6An3WzYrucRYF4g/videos,Diplomatic Academy الأكاديمية الدبلوماسية,6,UC-THfFuy6An3WzYrucRYF4g
